bankCode,bankName,dest
9405,AXA MANSARD PENSION LTD.,C:/python_work/bvn_user_actitities/destination/
11123,CAPSTONE MFB,C:/python_work/bvn_user_actitities/destination/
12345,LEGEND MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
14587,Prestige Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
20007,UMUCHUKWU MFB NIG LTD,C:/python_work/bvn_user_actitities/destination/
20008,NSUK MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
20009,UHURU MFB ABA,C:/python_work/bvn_user_actitities/destination/
20010,Page International Financial Services Limited,C:/python_work/bvn_user_actitities/destination/
25470,TEASYPAY,C:/python_work/bvn_user_actitities/destination/
33123,Owotutu Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
33211,Chukwunenye MFB LTD Nnewi,C:/python_work/bvn_user_actitities/destination/
34567,ADA MICROFINANCE BANK,C:/python_work/bvn_user_actitities/destination/
35123,ILARO POLY MFB LTD,C:/python_work/bvn_user_actitities/destination/
40003,FEDETH MFB LTD,C:/python_work/bvn_user_actitities/destination/
40172,Berkshire Finance Company Limited,C:/python_work/bvn_user_actitities/destination/
40175,PERENNIAL FINANCE LTD,C:/python_work/bvn_user_actitities/destination/
44043,GOOD NEIGHBOURS MFB LTD,C:/python_work/bvn_user_actitities/destination/
44916,WOVEN FINANCE LIMTED,C:/python_work/bvn_user_actitities/destination/
50219,CUB MICROFINANCE BANK,C:/python_work/bvn_user_actitities/destination/
50220,OCTOPUS MICROFINANCE BANK,C:/python_work/bvn_user_actitities/destination/
50362,GREENACRES MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
50373,Gwong Microfinance bank,C:/python_work/bvn_user_actitities/destination/
50564,Verdant Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
50743,Peace MFB,C:/python_work/bvn_user_actitities/destination/
51036,TANADI MFB,C:/python_work/bvn_user_actitities/destination/
